model,question,answer,faithfulness,answer_relevance,retrieval_precision,retrieval_recall,correct_source,retrieved_sources
phi3,How many days can the chicken Caesar wraps be refrigerated?,The chicken Caesar wraps can be refrigerated for up to 2 days.,1.0,0.9155410528182983,0.5,1.0,Chicken Caesar Wrap,"Easy Roast Chicken, Chicken Caesar Wrap"
phi3,What is the purpose of chilling the scones before baking?,Chilling the scones before baking helps to solidify the butter and create a flakier texture.,0.4,0.7923384308815002,0.5,1.0,chocolate_chip_scones,"chocolate_chip_scones, Divorce Carrot Cake"
phi3,What ingredient is used to make the breading mixture 'cheesy' without cheese?,Nutritional yeast is used to make the breading mixture 'cheesy' without cheese.,0.625,0.822376012802124,0.3333333333333333,1.0,Crispy Breaded Cauliflower Nuggets,"One-Pot Mac and Cheese, Crispy Breaded Cauliflower Nuggets, Divorce Carrot Cake"
phi3,How many calories are in one serving of the 3-Ingredient Cajun Alfredo Pasta?,One serving of the 3-Ingredient Cajun Alfredo Pasta contains 504 calories.,0.6666666666666666,0.9260603189468384,0.5,1.0,3-Ingredient Cajun Alfredo Pasta,"Easy Lasagna Primavera, 3-Ingredient Cajun Alfredo Pasta"
phi3,What is the protein content per serving in the Easy Roast Chicken?,The protein content per serving in the Easy Roast Chicken is 60g.,0.75,0.9145122766494751,0.25,1.0,Easy Roast Chicken,"How To Make a Burger on the Stove, 3-Ingredient Smoothie (5 Minutes), Easy Roast Chicken, 3-Ingredient Cajun Alfredo Pasta"
phi3,How long should the cake cool before frosting?,Let the cake cool in the pan on a wire rack for 30 minutes.,1.0,0.6698300838470459,0.5,1.0,Divorce Carrot Cake,"One-Bowl Lemon Snack Cake, Divorce Carrot Cake"
phi3,What is the purpose of spraying aluminum foil before covering the lasagna?,Spraying aluminum foil with cooking spray prevents the lasagna from sticking to the foil during baking.,0.5454545454545454,0.818467378616333,0.3333333333333333,1.0,Easy Lasagna Primavera,"One-Pot Mac and Cheese, chocolate_chip_scones, Easy Lasagna Primavera"
phi3,At what internal temperature does the USDA recommend the chicken breast to be fully cooked?,The USDA recommends that the chicken breast be fully cooked when it reaches an internal temperature of 165°F.,0.6153846153846154,0.9153438210487366,0.5,1.0,Easy Roast Chicken,"Easy Roast Chicken, Easy Lasagna Primavera"
phi3,Why do you press down on each patty with a spatula for 10 seconds after placing it in the skillet?,Pressing down on each patty with a spatula for 10 seconds helps to encourage browning and create a nice crust on the first side.,0.8,0.7013983130455017,0.3333333333333333,1.0,How To Make a Burger on the Stove,"How To Make a Burger on the Stove, Crispy Breaded Cauliflower Nuggets, Malted Chocolate Brownies"
phi3,What is the recommended oil temperature for frying the donuts?,The recommended oil temperature for frying the donuts is 350°F.,0.6666666666666666,0.9321786165237427,0.5,1.0,How To Make Donuts,"How To Make Donuts, Divorce Carrot Cake"
phi3,How can you prolong the moistness of the brownies after cooling?,Leave the brownies uncut (and slice as you enjoy) to prolong moistness.,1.0,0.6909304857254028,0.3333333333333333,1.0,Malted Chocolate Brownies,"Quick Blueberry Muffins, Malted Chocolate Brownies, Divorce Carrot Cake"
phi3,On which day does the cake have the best flavor according to the recipe?,"The cake seems to have the best flavor on the second day, in my opinion!",1.0,0.7680479288101196,0.5,1.0,One-Bowl Lemon Snack Cake,"One-Bowl Lemon Snack Cake, Divorce Carrot Cake"
phi3,"What two oven temperatures are used to bake the muffins, and for how long at each?","The muffins are first baked at 425°F for 5 minutes, then reduced to 375°F and baked for another 13 to 16 minutes.",0.7692307692307693,0.8405908346176147,0.3333333333333333,1.0,Quick Blueberry Muffins,"Quick Blueberry Muffins, Malted Chocolate Brownies, Divorce Carrot Cake"
mistral,How many days can the chicken Caesar wraps be refrigerated?,The chicken Caesar wraps can be refrigerated for up to 2 days.,1.0,0.9155410528182983,0.5,1.0,Chicken Caesar Wrap,"Easy Roast Chicken, Chicken Caesar Wrap"
mistral,What is the purpose of chilling the scones before baking?,"Chilling the scones before baking helps the butter in the dough remain solid, which results in a flaky texture.",0.38461538461538464,0.773935079574585,0.5,1.0,chocolate_chip_scones,"Divorce Carrot Cake, chocolate_chip_scones"
mistral,What ingredient is used to make the breading mixture 'cheesy' without cheese?,Nutritional yeast is used to make the breading mixture 'cheesy' without cheese.,0.625,0.822376012802124,0.3333333333333333,1.0,Crispy Breaded Cauliflower Nuggets,"Divorce Carrot Cake, Crispy Breaded Cauliflower Nuggets, One-Pot Mac and Cheese"
mistral,How many calories are in one serving of the 3-Ingredient Cajun Alfredo Pasta?,One serving of the 3-Ingredient Cajun Alfredo Pasta contains 504 calories.,0.6666666666666666,0.9260603189468384,0.5,1.0,3-Ingredient Cajun Alfredo Pasta,"Easy Lasagna Primavera, 3-Ingredient Cajun Alfredo Pasta"
mistral,What is the protein content per serving in the Easy Roast Chicken?,The protein content per serving in the Easy Roast Chicken is 37g.,0.75,0.9202442765235901,0.25,1.0,Easy Roast Chicken,"How To Make a Burger on the Stove, Easy Roast Chicken, 3-Ingredient Smoothie (5 Minutes), 3-Ingredient Cajun Alfredo Pasta"
mistral,How long should the cake cool before frosting?,The cake should cool to room temperature before frosting.,0.7142857142857143,0.8344753980636597,0.5,1.0,Divorce Carrot Cake,"Divorce Carrot Cake, One-Bowl Lemon Snack Cake"
mistral,What is the purpose of spraying aluminum foil before covering the lasagna?,The purpose of spraying aluminum foil before covering the lasagna is to prevent it from sticking to the foil during baking.,0.46153846153846156,0.9374664425849915,0.3333333333333333,1.0,Easy Lasagna Primavera,"Easy Lasagna Primavera, chocolate_chip_scones, One-Pot Mac and Cheese"
mistral,At what internal temperature does the USDA recommend the chicken breast to be fully cooked?,The USDA recommends cooking chicken breast to an internal temperature of 165°F.,0.875,0.860756516456604,0.5,1.0,Easy Roast Chicken,"Easy Roast Chicken, Easy Lasagna Primavera"
mistral,Why do you press down on each patty with a spatula for 10 seconds after placing it in the skillet?,Pressing down on the patty helps to encourage browning and form a nice crust on the first side.,0.8181818181818182,0.6380126476287842,0.3333333333333333,1.0,How To Make a Burger on the Stove,"How To Make a Burger on the Stove, Malted Chocolate Brownies, Crispy Breaded Cauliflower Nuggets"
mistral,What is the recommended oil temperature for frying the donuts?,"Heat the oil in a large, deep, heavy-bottomed pot to 350°F.",1.0,0.5674176812171936,0.5,1.0,How To Make Donuts,"Divorce Carrot Cake, How To Make Donuts"
